company_name,lever_slug,lever_jobs_url,lever_api_url,source_dataset,first_seen_in_dataset,last_seen_in_dataset,job_count_in_dataset,validated,validated_at,validation_status
Swapcard,swapcard,https://jobs.lever.co/swapcard,https://api.lever.co/v0/postings/swapcard?mode=json,open-apply-jobs,2022-09-02,2026-06-18,416,,,
Swile,swile,https://jobs.lever.co/swile,https://api.lever.co/v0/postings/swile?mode=json,open-apply-jobs,2023-08-29,2026-06-23,2144,,,
Swissblock,swissblock,https://jobs.lever.co/swissblock,https://api.lever.co/v0/postings/swissblock?mode=json,open-apply-jobs,2024-10-18,2026-06-10,203,,,
Swissborg,swissborg,https://jobs.lever.co/swissborg,https://api.lever.co/v0/postings/swissborg?mode=json,open-apply-jobs,2023-07-28,2026-04-30,232,,,
Swordhealth,swordhealth,https://jobs.lever.co/swordhealth,https://api.lever.co/v0/postings/swordhealth?mode=json,open-apply-jobs,2024-04-16,2026-06-18,4033,,,
Symplicity,symplicity,https://jobs.lever.co/symplicity,https://api.lever.co/v0/postings/symplicity?mode=json,open-apply-jobs,2024-05-16,2026-06-23,83,,,
Synapticure,synapticure,https://jobs.lever.co/synapticure,https://api.lever.co/v0/postings/synapticure?mode=json,open-apply-jobs,2024-07-02,2026-06-12,618,,,
Synergyecp,synergyecp,https://jobs.lever.co/synergyecp,https://api.lever.co/v0/postings/synergyecp?mode=json,open-apply-jobs,2024-06-26,2026-06-24,2047,,,
Synmax,synmax,https://jobs.lever.co/synmax,https://api.lever.co/v0/postings/synmax?mode=json,open-apply-jobs,2024-10-30,2026-04-10,413,,,
Syntax,syntax,https://jobs.lever.co/syntax,https://api.lever.co/v0/postings/syntax?mode=json,open-apply-jobs,2025-07-31,2026-05-15,197,,,
Synthego,synthego,https://jobs.lever.co/synthego,https://api.lever.co/v0/postings/synthego?mode=json,open-apply-jobs,2026-02-18,2026-06-22,80,,,
Syntronic,syntronic,https://jobs.lever.co/syntronic,https://api.lever.co/v0/postings/syntronic?mode=json,open-apply-jobs,2021-07-05,2026-06-24,1442,,,
Sysdig,sysdig,https://jobs.lever.co/sysdig,https://api.lever.co/v0/postings/sysdig?mode=json,open-apply-jobs,2025-06-17,2026-06-26,1120,,,
System1,system1,https://jobs.lever.co/system1,https://api.lever.co/v0/postings/system1?mode=json,open-apply-jobs,2025-09-07,2026-04-23,595,,,
Syw.Com,syw.com,https://jobs.lever.co/syw.com,https://api.lever.co/v0/postings/syw.com?mode=json,open-apply-jobs,2022-10-13,2023-04-04,1280,,,
Tag,tag,https://jobs.lever.co/tag,https://api.lever.co/v0/postings/tag?mode=json,open-apply-jobs,2026-04-24,2026-04-24,90,,,
